"Palay and Corn: Volume of Production by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2023 by Ecosystem/Croptype, Geolocation, Year and Period"

"Ecosystem/Croptype";"Geolocation";"2013 Quarter 1";"2013 Quarter 2";"2013 Quarter 3";"2013 Quarter 4";"2014 Quarter 1";"2014 Quarter 2";"2014 Quarter 3";"2014 Quarter 4";"2015 Quarter 1";"2015 Quarter 2";"2015 Quarter 3";"2015 Quarter 4";"2016 Quarter 1";"2016 Quarter 2";"2016 Quarter 3";"2016 Quarter 4";"2017 Quarter 1";"2017 Quarter 2";"2017 Quarter 3";"2017 Quarter 4";"2018 Quarter 1";"2018 Quarter 2";"2018 Quarter 3";"2018 Quarter 4";"2019 Quarter 1";"2019 Quarter 2";"2019 Quarter 3";"2019 Quarter 4";"2020 Quarter 1";"2020 Quarter 2";"2020 Quarter 3";"2020 Quarter 4";"2021 Quarter 1";"2021 Quarter 2";"2021 Quarter 3";"2021 Quarter 4";"2022 Quarter 1";"2022 Quarter 2";"2022 Quarter 3";"2022 Quarter 4"
"Irrigated Palay";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";53933.00;133461.00;59099.00;148178.00;56330.00;135781.00;56933.00;140688.00;56261.00;135677.00;55769.00;98140.00;52005.00;133546.00;53686.00;95257.00;58368.00;148175.00;53072.00;129943.00;58732.00;140522.00;51807.68;98223.30;57135.00;128631.14;58360.72;119245.50;30845.73;107824.42;86947.66;90826.74;34528.78;110046.21;61484.82;111118.45;27974.61;105528.27;49979.00;105080.28
"Irrigated Palay";"..REGION I (ILOCOS REGION)";304800.00;124165.00;102304.00;738768.00;314274.00;142898.00;107841.00;740451.00;325964.00;140993.00;86447.00;737171.00;315544.00;140174.00;123984.00;725491.00;331323.00;159542.00;140794.00;728545.00;328028.00;160879.00;129692.00;636634.52;328555.00;158805.00;157190.00;705162.00;330328.85;163467.00;161482.00;729834.00;321291.00;186987.60;149625.00;721837.00;323889.00;182757.27;162454.00;735974.57
"Irrigated Palay";"..REGION II (CAGAYAN VALLEY)";636359.00;505349.43;326952.00;756561.00;519271.95;655432.20;355248.65;780344.35;564004.90;688610.44;202784.00;847774.00;508612.00;755479.10;254639.00;663009.00;526845.00;804477.00;298780.00;798930.00;634708.00;684147.00;174579.00;666273.00;565534.00;692775.68;324752.00;879097.00;534440.00;748534.00;331399.00;835265.00;562062.62;884539.92;387499.99;846556.00;558584.56;881521.40;420627.14;829067.72
"Irrigated Palay";"..REGION III (CENTRAL LUZON)";664331.00;1020117.00;276952.00;1132362.00;706483.00;1140807.00;199628.00;1376135.00;724659.00;1147033.00;148120.00;1039968.00;638818.00;1161159.12;199864.00;1114999.00;670101.00;1116627.00;279782.00;1276284.00;674975.00;1127303.00;268873.71;1275013.29;726041.19;1127562.64;336325.09;1314708.40;659495.67;1101887.33;322867.81;1337142.73;695626.50;1033118.07;377226.39;1449292.27;768658.28;1133641.14;312055.73;1282095.90
"Rainfed Palay";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";2336.00;3357.00;12037.00;47769.00;2512.00;3404.00;9549.00;47412.00;2673.00;3523.00;8342.00;40526.00;1997.00;3749.00;5891.00;36717.00;1472.00;3924.00;5886.00;44166.00;687.00;3599.00;2385.00;35148.62;608.00;1238.00;4673.22;48429.00;50.60;4941.62;8207.60;46829.11;585.64;2868.70;5954.83;50545.92;885.52;3577.74;8293.39;36748.65
"Rainfed Palay";"..REGION I (ILOCOS REGION)";1695.00;0.00;25165.00;453160.00;1976.00;0.00;19550.00;469239.00;1841.00;0.00;12516.00;472189.00;1952.00;0.00;28149.00;469832.00;1466.00;0.00;29031.00;481351.00;1201.00;0.00;22773.00;440836.00;1495.00;0.00;29075.00;470983.37;1092.00;0.00;27534.00;488924.00;1068.00;0.00;27538.00;493996.00;2522.00;0.00;29747.60;528027.93
"Rainfed Palay";"..REGION II (CAGAYAN VALLEY)";82984.00;40610.18;3652.72;70732.00;91483.00;30779.80;518.22;81856.00;83860.00;49994.11;1520.83;51099.00;71465.00;38188.70;2041.00;39220.24;67887.00;84609.36;3644.95;71805.20;90515.04;70058.42;1756.58;57734.38;55090.47;50944.70;4292.15;72216.34;60210.96;62111.00;5383.25;68433.57;68629.94;71961.32;3403.65;85297.04;57732.62;63691.46;6233.17;110707.63
"Rainfed Palay";"..REGION III (CENTRAL LUZON)";5045.00;1551.00;7543.00;301567.00;5249.00;1620.00;4121.00;331107.00;6463.00;1642.00;6394.00;230031.00;2397.00;1388.00;6748.00;217510.00;4121.00;2827.00;7914.00;277151.00;4582.00;1604.00;5969.40;256794.72;3831.98;810.00;10389.24;210511.79;3862.00;834.00;29234.10;179823.95;3417.00;8572.80;23753.76;150203.74;4197.00;1246.00;21136.84;93681.50
"Palay";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";56269.00;136818.00;71136.00;195947.00;58842.00;139185.00;66482.00;188100.00;58934.00;139200.00;64111.00;138666.00;54002.00;137295.00;59577.00;131974.00;59840.00;152099.00;58958.00;174109.00;59419.00;144121.00;54192.68;133371.92;57743.00;129869.14;63033.94;167674.50;30896.33;112766.04;95155.26;137655.85;35114.42;112914.91;67439.65;161664.37;28860.12;109106.01;58272.38;141828.93
"Palay";"..REGION I (ILOCOS REGION)";306495.00;124165.00;127469.00;1191928.00;316250.00;142898.00;127391.00;1209690.00;327805.00;140993.00;98963.00;1209360.00;317496.00;140174.00;152133.00;1195323.00;332789.00;159542.00;169825.00;1209896.00;329229.00;160879.00;152465.00;1077470.52;330050.00;158805.00;186265.00;1176145.37;331420.85;163467.00;189016.00;1218758.00;322359.00;186987.60;177163.00;1215833.00;326411.00;182757.27;192201.60;1264002.50
"Palay";"..REGION II (CAGAYAN VALLEY)";719343.00;545959.61;330604.72;827293.00;610754.95;686212.00;355766.87;862200.35;647864.90;738604.55;204304.83;898873.00;580077.00;793667.80;256680.00;702229.24;594732.00;889086.36;302424.95;870735.20;725223.04;754205.42;176335.58;724007.38;620624.47;743720.38;329044.15;951313.34;594650.96;810645.00;336782.25;903698.57;630692.56;956501.24;390903.64;931853.04;616317.18;945212.86;426860.31;939775.35
"Palay";"..REGION III (CENTRAL LUZON)";669376.00;1021668.00;284495.00;1433929.00;711732.00;1142427.00;203749.00;1707242.00;731122.00;1148675.00;154514.00;1269999.00;641215.00;1162547.12;206612.00;1332509.00;674222.00;1119454.00;287696.00;1553435.00;679557.00;1128907.00;274843.11;1531808.01;729873.17;1128372.64;346714.33;1525220.19;663357.67;1102721.33;352101.91;1516966.68;699043.50;1041690.87;400980.15;1599496.01;772855.28;1134887.14;333192.57;1375777.40
